n,p,nnodes,nthreads,seed,num_clusters,max_cluster,rperc,cperc,init_time,perc_time,tjoin_time,recv_time,pjoin_time,total_time
3000,0.600000,3,2,241311,228183,4055599,1,1,0.437840,1.132425,0.080813,0.160088,0.224578,2.044561
3000,0.600000,3,4,241311,228183,4055599,1,1,0.445399,0.633058,0.243477,0.124763,0.223901,1.684385
3000,0.600000,3,8,241311,228183,4055599,1,1,0.435324,0.349448,0.571042,0.108510,0.226430,1.718086
3000,0.800000,3,1,241311,12352,7186630,1,1,0.408016,0.419159,0.000000,0.014916,0.018606,0.861026
3000,0.800000,3,2,241311,12352,7186630,1,1,0.405500,0.220946,0.006029,0.016803,0.018802,0.668576
3000,0.800000,3,4,241311,12352,7186630,1,1,0.424584,0.122845,0.018374,0.077328,0.018801,0.662620
3000,0.800000,3,8,241311,12352,7186630,1,1,0.411847,0.067999,0.042888,0.028327,0.018755,0.570854
3000,1.000000,3,1,241311,1,9000000,1,1,0.382645,0.298315,0.000001,0.012980,0.000352,0.694303
3000,1.000000,3,2,241311,1,9000000,1,1,0.383892,0.157369,0.000207,0.020652,0.000350,0.562480
3000,1.000000,3,4,241311,1,9000000,1,1,0.385032,0.085841,0.000574,0.009148,0.000352,0.480957
3000,1.000000,3,8,241311,1,9000000,1,1,0.370742,0.046175,0.001339,0.005898,0.000350,0.424514
3500,0.000000,3,1,241311,0,0,0,0,0.470974,0.014652,0.000000,0.004562,0.000035,0.490224
3500,0.000000,3,2,241311,0,0,0,0,0.468919,0.007673,0.000022,0.003753,0.000035,0.480403
3500,0.000000,3,4,241311,0,0,0,0,0.481776,0.004617,0.000056,0.004299,0.000034,0.490781
3500,0.000000,3,8,241311,0,0,0,0,0.510731,0.003387,0.000094,0.004185,0.000051,0.518447
3500,0.200000,3,1,241311,1489155,23,0,0,0.536482,14.523644,0.000002,0.166025,0.059069,15.317583
3500,0.200000,3,2,241311,1489155,23,0,0,0.547980,7.456305,0.020706,0.152220,0.060171,8.282553
3500,0.200000,3,4,241311,1489155,23,0,0,0.545257,4.078000,0.060602,0.217985,0.060406,5.029790
3500,0.200000,3,8,241311,1489155,23,0,0,0.520629,2.180092,0.133006,0.314192,0.059399,3.336623
3500,0.400000,3,1,241311,1300991,182,0,0,0.603418,12.801536,0.000001,0.325851,0.252574,14.019625
3500,0.400000,3,2,241311,1300991,182,0,0,0.581303,6.386598,0.084992,0.747229,0.247318,8.100425
3500,0.400000,3,4,241311,1300991,182,0,0,0.575083,3.552067,0.251486,0.489725,0.249157,5.192863
